contrast	Transferred SRT Label or Smoothed LC Domain	VisFDR05_tested	reprate8426	reprate12199	reprate16119	reprate20079
E2YRI_vs_E2CEU	ACHE_SERT_Npep	23	0.0869565217391304	0.0869565217391304	0.0869565217391304	0.0869565217391304
E4CEU_vs_E2CEU	ACHE_SERT_Npep	26	0.115384615384615	0.115384615384615	0.115384615384615	0.192307692307692
E4YRI_vs_E2YRI	ACHE_SERT_Npep	50	0.24	0.26	0.24	0.26
E4YRI_vs_E4CEU	ACHE_SERT_Npep	8	0.25	0.25	0.25	0.5
E4vE2	ACHE_SERT_Npep	10				
Sex	ACHE_SERT_Npep	57	0.456140350877193	0.43859649122807	0.456140350877193	0.421052631578947
E2YRI_vs_E2CEU	Astro	20	0.1	0.1	0.1	0.25
E4CEU_vs_E2CEU	Astro	53	0.320754716981132	0.30188679245283	0.320754716981132	0.358490566037736
E4YRI_vs_E2YRI	Astro	39	0.512820512820513	0.461538461538462	0.512820512820513	0.512820512820513
E4YRI_vs_E4CEU	Astro	34	0.558823529411765	0.558823529411765	0.558823529411765	0.382352941176471
E4vE2	Astro	17	0.235294117647059	0.235294117647059	0.235294117647059	0.235294117647059
Sex	Astro	69	0.594202898550725	0.608695652173913	0.594202898550725	0.594202898550725
E2YRI_vs_E2CEU	kNN smoothed LC domain	7	0.571428571428571	0.428571428571429	0.571428571428571	0.428571428571429
E4CEU_vs_E2CEU	kNN smoothed LC domain	21	0.238095238095238	0.285714285714286	0.238095238095238	0.285714285714286
E4YRI_vs_E2YRI	kNN smoothed LC domain	13	0.230769230769231	0.307692307692308	0.230769230769231	0.230769230769231
E4YRI_vs_E4CEU	kNN smoothed LC domain	15	0.4	0.4	0.4	0.333333333333333
E4vE2	kNN smoothed LC domain	26	0.269230769230769	0.384615384615385	0.269230769230769	0.346153846153846
Sex	kNN smoothed LC domain	57	0.473684210526316	0.456140350877193	0.473684210526316	0.456140350877193
E2YRI_vs_E2CEU	Oligo_Astro	25	0.12	0.12	0.12	0.12
E4CEU_vs_E2CEU	Oligo_Astro	49	0.183673469387755	0.204081632653061	0.183673469387755	0.285714285714286
E4YRI_vs_E2YRI	Oligo_Astro	29	0.344827586206897	0.241379310344828	0.344827586206897	0.310344827586207
E4YRI_vs_E4CEU	Oligo_Astro	38	0.236842105263158	0.184210526315789	0.236842105263158	0.289473684210526
E4vE2	Oligo_Astro	26	0.346153846153846	0.307692307692308	0.346153846153846	0.346153846153846
Sex	Oligo_Astro	50	0.46	0.46	0.46	0.48
