gene	prop_nonzero	cluster	source
AC016745.2	0.000158524663795609	Oligo_1	Otero22
AC016745.2	0.00194228634850166	Astro_1	Otero22
AC016745.2	0.0043411286934603	ACHE_SERT_SLC17A6_Npeps	Otero22
AC016745.2	0.00268928423665701	Astro_2_APOE	Otero22
AC016745.2	0.00226467113036629	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
AC016745.2	0.00240050536955148	LC.1	Otero22
AC016745.2	0.00136272070150492	Oligo_2	Otero22
AC016745.2	0.00240137221269297	Oligo_3	Otero22
AC016745.2	0.00152439024390244	Vascular	Otero22
ACTG1	0.114032074823641	Oligo_1	Otero22
ACTG1	0.400850906400296	Astro_1	Otero22
ACTG1	0.9093964430752	ACHE_SERT_SLC17A6_Npeps	Otero22
ACTG1	0.798262308647083	Astro_2_APOE	Otero22
ACTG1	0.534363922804254	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
ACTG1	0.96197094125079	LC.1	Otero22
ACTG1	0.484950823557294	Oligo_2	Otero22
ACTG1	0.838593481989708	Oligo_3	Otero22
ACTG1	0.609538327526132	Vascular	Otero22
ADGRB2	0.0111495680202912	Oligo_1	Otero22
ADGRB2	0.0551239363669996	Astro_1	Otero22
ADGRB2	0.283293656350651	ACHE_SERT_SLC17A6_Npeps	Otero22
ADGRB2	0.134133223003724	Astro_2_APOE	Otero22
ADGRB2	0.0804450571090981	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
ADGRB2	0.266708780795957	LC.1	Otero22
ADGRB2	0.0415926057589762	Oligo_2	Otero22
ADGRB2	0.0821612349914237	Oligo_3	Otero22
ADGRB2	0.0672909407665505	Vascular	Otero22
AHDC1	0.00528415545985363	Oligo_1	Otero22
AHDC1	0.024787273399926	Astro_1	Otero22
AHDC1	0.120221257526957	ACHE_SERT_SLC17A6_Npeps	Otero22
AHDC1	0.073396772858916	Astro_2_APOE	Otero22
AHDC1	0.0351516345017724	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
AHDC1	0.116866708780796	LC.1	Otero22
AHDC1	0.0207370541533357	Oligo_2	Otero22
AHDC1	0.0416809605488851	Oligo_3	Otero22
AHDC1	0.0387630662020906	Vascular	Otero22
AHI1	0.0155354170519697	Oligo_1	Otero22
AHI1	0.0680725120236774	Astro_1	Otero22
AHI1	0.276921999719927	ACHE_SERT_SLC17A6_Npeps	Otero22
AHI1	0.144973107157633	Astro_2_APOE	Otero22
AHI1	0.0905868452146514	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
AHI1	0.395451674036639	LC.1	Otero22
AHI1	0.0582414978077971	Oligo_2	Otero22
AHI1	0.104631217838765	Oligo_3	Otero22
AHI1	0.107578397212544	Vascular	Otero22
AP1G2	0.00161166741525536	Oligo_1	Otero22
AP1G2	0.00675175730669626	Astro_1	Otero22
AP1G2	0.0495728889511273	ACHE_SERT_SLC17A6_Npeps	Otero22
AP1G2	0.0178733967728589	Astro_2_APOE	Otero22
AP1G2	0.013391098857818	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
AP1G2	0.0414403032217309	LC.1	Otero22
AP1G2	0.00622111624600071	Oligo_2	Otero22
AP1G2	0.0205831903945112	Oligo_3	Otero22
AP1G2	0.0163327526132404	Vascular	Otero22
APP	0.0671616158947396	Oligo_1	Otero22
APP	0.23621901590825	Astro_1	Otero22
APP	0.817602576669934	ACHE_SERT_SLC17A6_Npeps	Otero22
APP	0.584071162598262	Astro_2_APOE	Otero22
APP	0.37170145726664	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
APP	0.761718256475047	LC.1	Otero22
APP	0.346190306908401	Oligo_2	Otero22
APP	0.679931389365352	Oligo_3	Otero22
APP	0.400479094076655	Vascular	Otero22
ARHGAP35	0.0200797907474438	Oligo_1	Otero22
ARHGAP35	0.0906400295967444	Astro_1	Otero22
ARHGAP35	0.390841618820893	ACHE_SERT_SLC17A6_Npeps	Otero22
ARHGAP35	0.221307405875052	Astro_2_APOE	Otero22
ARHGAP35	0.131843245372194	ACHE_SERT_SLC17A6_ADCYAP1	Otero22
ARHGAP35	0.500315855969678	LC.1	Otero22
ARHGAP35	0.0913022870008295	Oligo_2	Otero22
ARHGAP35	0.167066895368782	Oligo_3	Otero22
ARHGAP35	0.115853658536585	Vascular	Otero22
